Recipe_id,totalNumOfStep,FileName,Step_num,Nper,Category_num,SubsetNum,ImgLink
7003883,8,7003883_6,6,0.778,10,3,https://res.hoto.cn/5b3350510135db7c7ffdb672.jpg!default
7003884,17,7003884_0,0,0.056,14,1,https://res.hoto.cn/5b334f690135db7c7ffdb643.jpg!default
7003884,17,7003884_11,11,0.667,14,3,https://res.hoto.cn/5b334f6c0135db7c7ffdb64e.jpg!default
7003884,17,7003884_12,12,0.722,13,3,https://res.hoto.cn/5b334f6c0135db7c7ffdb64f.jpg!default
7003884,17,7003884_14,14,0.833,10,3,https://res.hoto.cn/5b334f680135db7c7ffdb642.jpg!default
7003884,17,7003884_3,3,0.222,2,1,https://res.hoto.cn/5b334f6a0135db7c7ffdb646.jpg!default
7003884,17,7003884_3,3,0.222,13,1,https://res.hoto.cn/5b334f6a0135db7c7ffdb646.jpg!default
7003884,17,7003884_4,4,0.278,14,1,https://res.hoto.cn/5b334f6a0135db7c7ffdb647.jpg!default
7003884,17,7003884_5,5,0.333,14,2,https://res.hoto.cn/5b334f6a0135db7c7ffdb648.jpg!default
7003884,17,7003884_8,8,0.5,2,2,https://res.hoto.cn/5b334f6b0135db7c7ffdb64b.jpg!default
7003890,6,7003890_4,4,0.714,2,3,https://res.hoto.cn/5b3367e80135db7c7ffdb6b9.jpg!default
7003890,6,7003890_6,6,1.0,10,3,https://res.hoto.cn/5b3367ea0135db7c7ffdb6bb.jpg!default
7003893,13,7003893_0,0,0.071,4,1,https://res.hoto.cn/5b3373d60135db7c7ffdb6f6.jpg!default
7003893,13,7003893_1,1,0.143,16,1,https://res.hoto.cn/5b33755d0135db7c7ffdb709.jpg!default
7003893,13,7003893_2,2,0.214,2,1,https://res.hoto.cn/5b3373d70135db7c7ffdb6f7.jpg!default
7003893,13,7003893_2,2,0.214,4,1,https://res.hoto.cn/5b3373d70135db7c7ffdb6f7.jpg!default
7003893,13,7003893_3,3,0.286,10,1,https://res.hoto.cn/5b3373e20135db7c7ffdb6f9.jpg!default
7003893,13,7003893_6,6,0.5,10,2,https://res.hoto.cn/5b3373e30135db7c7ffdb6fc.jpg!default
7003893,13,7003893_8,8,0.643,16,3,https://res.hoto.cn/5b3373e30135db7c7ffdb6fe.jpg!default
7003897,5,7003897_1,1,0.333,15,2,https://res.hoto.cn/5b3373b30135db7c7ffdb6ef.jpg!default
7003897,5,7003897_2,2,0.5,18,2,https://res.hoto.cn/5b3373b50135db7c7ffdb6f0.jpg!default
7003903,11,7003903_1,1,0.167,2,1,https://res.hoto.cn/5b33815b0135db7c7ffdb73d.png!defaultp
7003903,11,7003903_10,10,0.917,10,3,https://res.hoto.cn/5b3381650135db7c7ffdb746.png!defaultp
7003903,11,7003903_5,5,0.5,10,2,https://res.hoto.cn/5b3381600135db7c7ffdb741.png!defaultp
7003903,11,7003903_6,6,0.583,10,2,https://res.hoto.cn/5b3381610135db7c7ffdb742.png!defaultp
7003905,13,7003905_2,2,0.214,7,1,https://res.hoto.cn/5b338b000135db7c7ffdb773.jpg!default
7003908,9,7003908_6,6,0.7,19,3,https://res.hoto.cn/5b3388ae0135db7c7ffdb75b.jpg!default
7003908,9,7003908_9,9,1.0,19,3,https://res.hoto.cn/5b3388bf0135db7c7ffdb75e.jpg!default
7003910,8,7003910_0,0,0.111,15,1,https://res.hoto.cn/5b338a400135db7c7ffdb765.jpg!default
7003910,8,7003910_1,1,0.222,15,1,https://res.hoto.cn/5b338a470135db7c7ffdb766.jpg!default
7003910,8,7003910_2,2,0.333,16,2,https://res.hoto.cn/5b338a4a0135db7c7ffdb767.jpg!default
7003910,8,7003910_3,3,0.444,16,2,https://res.hoto.cn/5b338a4d0135db7c7ffdb768.jpg!default
7003910,8,7003910_4,4,0.556,16,2,https://res.hoto.cn/5b338a510135db7c7ffdb769.jpg!default
7003912,10,7003912_0,0,0.091,16,1,https://res.hoto.cn/5b338c1c0135db7c7ffdb79b.jpg!default
7003912,10,7003912_4,4,0.455,10,2,https://res.hoto.cn/5b338e070135db7c7ffdb7b9.jpg!default
7003912,10,7003912_5,5,0.545,16,2,https://res.hoto.cn/5b338e7c0135db7c7ffdb7bb.jpg!default
7003912,10,7003912_6,6,0.636,10,3,https://res.hoto.cn/5b338eb10135db7c7ffdb7bc.jpg!default
7003918,6,7003918_1,1,0.286,8,1,https://res.hoto.cn/5b3390580135db7c7ffdb7ce.jpg!default
7003918,6,7003918_2,2,0.429,8,2,https://res.hoto.cn/5b33905e0135db7c7ffdb7d0.jpg!default
7003918,6,7003918_6,6,1.0,8,3,https://res.hoto.cn/5b3390650135db7c7ffdb7d3.jpg!default
7003919,4,7003919_0,0,0.2,2,1,https://res.hoto.cn/5b3392e00135db7c7ffdb7d9.jpg!default
7003919,4,7003919_2,2,0.6,2,2,https://res.hoto.cn/5b3392e20135db7c7ffdb7da.jpg!default
7003919,4,7003919_3,3,0.8,2,3,https://res.hoto.cn/5b3392e60135db7c7ffdb7dd.jpg!default
7003920,15,7003920_1,1,0.125,15,1,https://res.hoto.cn/5b33b73d0135db7c7ffdb84e.jpg!default
7003920,15,7003920_10,10,0.688,16,3,https://res.hoto.cn/5b33b7500135db7c7ffdb856.jpg!default
7003920,15,7003920_12,12,0.812,16,3,https://res.hoto.cn/5b33b7590135db7c7ffdb859.jpg!default
7003920,15,7003920_13,13,0.875,16,3,https://res.hoto.cn/5b33b7570135db7c7ffdb858.jpg!default
7003920,15,7003920_14,14,0.938,15,3,https://res.hoto.cn/5b33b75c0135db7c7ffdb85a.jpg!default
7003920,15,7003920_3,3,0.25,15,1,https://res.hoto.cn/5b33b73f0135db7c7ffdb850.jpg!default
7003920,15,7003920_4,4,0.312,16,2,https://res.hoto.cn/5b33bb7d0135db7c7ffdb85d.jpg!default
7003920,15,7003920_5,5,0.375,16,2,https://res.hoto.cn/5b33b7410135db7c7ffdb851.jpg!default
7003920,15,7003920_6,6,0.438,16,2,https://res.hoto.cn/5b33b7440135db7c7ffdb852.jpg!default
7003920,15,7003920_7,7,0.5,16,2,https://res.hoto.cn/5b33b7470135db7c7ffdb853.jpg!default
7003920,15,7003920_8,8,0.562,16,2,https://res.hoto.cn/5b33b74a0135db7c7ffdb854.jpg!default
7003921,17,7003921_0,0,0.056,18,1,https://res.hoto.cn/5b33a0290135db7c7ffdb7e8.jpg!default
7003922,4,7003922_1,1,0.4,8,2,https://res.hoto.cn/5b33a6ac0135db7c7ffdb7f7.jpg!default
7003922,4,7003922_1,1,0.4,11,2,https://res.hoto.cn/5b33a6ac0135db7c7ffdb7f7.jpg!default
7003922,4,7003922_3,3,0.8,11,3,https://res.hoto.cn/5b33a6b40135db7c7ffdb7f9.jpg!default
7003922,4,7003922_3,3,0.8,18,3,https://res.hoto.cn/5b33a6b40135db7c7ffdb7f9.jpg!default
7003924,4,7003924_1,1,0.4,8,2,https://res.hoto.cn/5b33aa680135db7c7ffdb809.jpg!default
7003924,4,7003924_1,1,0.4,10,2,https://res.hoto.cn/5b33aa680135db7c7ffdb809.jpg!default
7003924,4,7003924_3,3,0.8,18,3,https://res.hoto.cn/5b33aa6e0135db7c7ffdb80b.jpg!default
7003924,4,7003924_4,4,1.0,8,3,https://res.hoto.cn/5b33aa710135db7c7ffdb80c.jpg!default
7003925,7,7003925_1,1,0.25,10,1,https://res.hoto.cn/5b33ab8c0135db7c7ffdb815.jpg!default
7003925,7,7003925_1,1,0.25,18,1,https://res.hoto.cn/5b33ab8c0135db7c7ffdb815.jpg!default
7003930,7,7003930_0,0,0.125,17,1,https://res.hoto.cn/5b33b1850135db7c7ffdb83c.jpg!default
7003930,7,7003930_2,2,0.375,2,2,https://res.hoto.cn/5b33b4500135db7c7ffdb845.jpg!default
7003930,7,7003930_3,3,0.5,17,2,https://res.hoto.cn/5b33b1840135db7c7ffdb83a.jpg!default
7003930,7,7003930_5,5,0.75,10,3,https://res.hoto.cn/5b33b1860135db7c7ffdb83e.jpg!default
7003930,7,7003930_6,6,0.875,11,3,https://res.hoto.cn/5b33b60a0135db7c7ffdb847.jpg!default
7003936,6,7003936_2,2,0.429,18,2,https://res.hoto.cn/5b3426550135db7c7ffdb8a8.jpg!default
7003937,10,7003937_1,1,0.182,3,1,https://res.hoto.cn/5b349c010135db7c7ffdbb55.jpg!default
7003937,10,7003937_1,1,0.182,10,1,https://res.hoto.cn/5b349c010135db7c7ffdbb55.jpg!default
7003937,10,7003937_2,2,0.273,18,1,https://res.hoto.cn/5b349c020135db7c7ffdbb56.jpg!default
7003937,10,7003937_3,3,0.364,3,2,https://res.hoto.cn/5b349c030135db7c7ffdbb57.jpg!default
7003937,10,7003937_3,3,0.364,10,2,https://res.hoto.cn/5b349c030135db7c7ffdbb57.jpg!default
7003937,10,7003937_3,3,0.364,18,2,https://res.hoto.cn/5b349c030135db7c7ffdbb57.jpg!default
7003937,10,7003937_9,9,0.909,10,3,https://res.hoto.cn/5b342ab10135db7c7ffdb8ad.jpg!default
7003938,13,7003938_6,6,0.5,2,2,https://res.hoto.cn/5b346ca40135db7c7ffdb9d3.jpg!default
7003938,13,7003938_7,7,0.571,2,2,https://res.hoto.cn/5b346c190135db7c7ffdb9c8.jpg!default
7003940,36,7003940_0,0,0.027,7,1,https://res.hoto.cn/5b343b3a0135db7c7ffdb8cd.jpg!default
7003940,36,7003940_0,0,0.027,8,1,https://res.hoto.cn/5b343b3a0135db7c7ffdb8cd.jpg!default
7003940,36,7003940_0,0,0.027,17,1,https://res.hoto.cn/5b343b3a0135db7c7ffdb8cd.jpg!default
7003940,36,7003940_10,10,0.297,17,1,https://res.hoto.cn/5b343c170135db7c7ffdb8da.jpg!default
7003940,36,7003940_11,11,0.324,17,2,https://res.hoto.cn/5b343c1e0135db7c7ffdb8db.jpg!default
7003940,36,7003940_12,12,0.351,8,2,https://res.hoto.cn/5b343c210135db7c7ffdb8dc.jpg!default
7003940,36,7003940_14,14,0.405,17,2,https://res.hoto.cn/5b343ea70135db7c7ffdb8e1.jpg!default
7003940,36,7003940_6,6,0.189,17,1,https://res.hoto.cn/5b343bfb0135db7c7ffdb8d5.jpg!default
7003940,36,7003940_7,7,0.216,17,1,https://res.hoto.cn/5b343bff0135db7c7ffdb8d6.jpg!default
7003940,36,7003940_8,8,0.243,17,1,https://res.hoto.cn/5b343c0a0135db7c7ffdb8d8.jpg!default
7003940,36,7003940_9,9,0.27,7,1,https://res.hoto.cn/5b343c130135db7c7ffdb8d9.jpg!default
7003940,36,7003940_9,9,0.27,17,1,https://res.hoto.cn/5b343c130135db7c7ffdb8d9.jpg!default
7003944,7,7003944_0,0,0.125,1,1,https://res.hoto.cn/5b344a200135db7c7ffdb926.jpg!default
7003944,7,7003944_3,3,0.5,1,2,https://res.hoto.cn/5b344a2a0135db7c7ffdb929.jpg!default
7003944,7,7003944_7,7,1.0,10,3,https://res.hoto.cn/5b344a320135db7c7ffdb92c.jpg!default
7003947,15,7003947_10,10,0.688,3,3,https://res.hoto.cn/5b344a450135db7c7ffdb937.jpg!default
7003947,15,7003947_10,10,0.688,6,3,https://res.hoto.cn/5b344a450135db7c7ffdb937.jpg!default
7003947,15,7003947_10,10,0.688,10,3,https://res.hoto.cn/5b344a450135db7c7ffdb937.jpg!default
7003947,15,7003947_12,12,0.812,6,3,https://res.hoto.cn/5b344a490135db7c7ffdb93b.jpg!default
7003947,15,7003947_4,4,0.312,3,2,https://res.hoto.cn/5b344a3f0135db7c7ffdb92f.jpg!default
7003947,15,7003947_4,4,0.312,10,2,https://res.hoto.cn/5b344a3f0135db7c7ffdb92f.jpg!default
7003947,15,7003947_6,6,0.438,6,2,https://res.hoto.cn/5b344a420135db7c7ffdb933.jpg!default
7003947,15,7003947_9,9,0.625,2,3,https://res.hoto.cn/5b344a450135db7c7ffdb936.jpg!default
7003949,8,7003949_0,0,0.111,16,1,https://res.hoto.cn/5b3451e70135db7c7ffdb959.jpg!default
7003949,8,7003949_0,0,0.111,18,1,https://res.hoto.cn/5b3451e70135db7c7ffdb959.jpg!default
7003951,4,7003951_0,0,0.2,7,1,https://res.hoto.cn/5b34549b0135db7c7ffdb970.jpg!default
7003951,4,7003951_1,1,0.4,7,2,https://res.hoto.cn/5b3454830135db7c7ffdb96a.jpg!default
7003957,14,7003957_1,1,0.133,16,1,https://res.hoto.cn/5b346d7d0135db7c7ffdb9e8.jpg!default
7003957,14,7003957_2,2,0.2,15,1,https://res.hoto.cn/5b346d7e0135db7c7ffdb9ea.jpg!default
7003957,14,7003957_3,3,0.267,16,1,https://res.hoto.cn/5b346d7e0135db7c7ffdb9e9.jpg!default
7003957,14,7003957_5,5,0.4,16,2,https://res.hoto.cn/5b346d800135db7c7ffdb9ec.jpg!default
7003957,14,7003957_7,7,0.533,16,2,https://res.hoto.cn/5b346d850135db7c7ffdb9ef.jpg!default
7003964,5,7003964_0,0,0.167,2,1,https://res.hoto.cn/5b3470220135db7c7ffdba1d.jpg!default
7003964,5,7003964_0,0,0.167,10,1,https://res.hoto.cn/5b3470220135db7c7ffdba1d.jpg!default
7003964,5,7003964_1,1,0.333,2,2,https://res.hoto.cn/5b3470230135db7c7ffdba1e.jpg!default
7003964,5,7003964_1,1,0.333,10,2,https://res.hoto.cn/5b3470230135db7c7ffdba1e.jpg!default
7003964,5,7003964_4,4,0.833,10,3,https://res.hoto.cn/5b34702a0135db7c7ffdba21.jpg!default
7003966,6,7003966_1,1,0.286,18,1,https://res.hoto.cn/5b346d150135db7c7ffdb9dd.jpg!default
7003966,6,7003966_2,2,0.429,18,2,https://res.hoto.cn/5b346d150135db7c7ffdb9de.jpg!default
7003967,12,7003967_0,0,0.077,2,1,https://res.hoto.cn/5b346e3e0135db7c7ffdba0e.jpg!default
7003967,12,7003967_6,6,0.538,2,2,https://res.hoto.cn/5b346e3e0135db7c7ffdba14.jpg!default
7003969,8,7003969_1,1,0.222,17,1,https://res.hoto.cn/5b34720f0135db7c7ffdba39.jpg!default
7003969,8,7003969_2,2,0.333,5,2,https://res.hoto.cn/5b34720f0135db7c7ffdba3b.jpg!default
7003969,8,7003969_2,2,0.333,17,2,https://res.hoto.cn/5b34720f0135db7c7ffdba3b.jpg!default
7003969,8,7003969_3,3,0.444,2,2,https://res.hoto.cn/5b3472100135db7c7ffdba3c.jpg!default
7003970,7,7003970_1,1,0.25,5,1,https://res.hoto.cn/5b3473a30135db7c7ffdba48.jpg!default
7003970,7,7003970_1,1,0.25,18,1,https://res.hoto.cn/5b3473a30135db7c7ffdba48.jpg!default
7003970,7,7003970_7,7,1.0,18,3,https://res.hoto.cn/5b3473990135db7c7ffdba44.jpg!default
7003973,6,7003973_4,4,0.714,11,3,https://res.hoto.cn/5b347a1e0135db7c7ffdba75.jpg!default
7003973,6,7003973_5,5,0.857,11,3,https://res.hoto.cn/5b347a1e0135db7c7ffdba76.jpg!default
7003974,17,7003974_1,1,0.111,7,1,https://res.hoto.cn/5b347f480135db7c7ffdba87.jpg!default
7003978,18,7003978_1,1,0.105,7,1,https://res.hoto.cn/5b3481380135db7c7ffdbaaf.jpg!default
7003980,13,7003980_0,0,0.071,16,1,https://res.hoto.cn/5b348aef0135db7c7ffdbae3.jpg!default
7003980,13,7003980_1,1,0.143,9,1,https://res.hoto.cn/5b348aff0135db7c7ffdbae5.jpg!default
7003980,13,7003980_10,10,0.786,9,3,https://res.hoto.cn/5b348b240135db7c7ffdbaeb.jpg!default
7003980,13,7003980_11,11,0.857,14,3,https://res.hoto.cn/5b348b290135db7c7ffdbaec.jpg!default
7003980,13,7003980_12,12,0.929,7,3,https://res.hoto.cn/5b348b2f0135db7c7ffdbaed.jpg!default
7003980,13,7003980_4,4,0.357,14,2,https://res.hoto.cn/5b348b040135db7c7ffdbae7.jpg!default
7003980,13,7003980_5,5,0.429,7,2,https://res.hoto.cn/5b348b0a0135db7c7ffdbae8.jpg!default
7003980,13,7003980_7,7,0.571,16,2,https://res.hoto.cn/5b348b120135db7c7ffdbae9.jpg!default
7003982,7,7003982_1,1,0.25,13,1,https://res.hoto.cn/5b3489680135db7c7ffdbadd.jpg!default
7003983,11,7003983_10,10,0.917,10,3,https://res.hoto.cn/5b3489030135db7c7ffdbad5.jpg!default
7003983,11,7003983_2,2,0.25,10,1,https://res.hoto.cn/5b3495240135db7c7ffdbb25.jpg!default
7003984,7,7003984_2,2,0.375,2,2,https://res.hoto.cn/5b3490b80135db7c7ffdbafb.jpg!default
7003984,7,7003984_3,3,0.5,2,2,https://res.hoto.cn/5b3490bd0135db7c7ffdbafc.jpg!default
7003986,8,7003986_6,6,0.778,10,3,https://res.hoto.cn/5b3492dc0135db7c7ffdbb15.jpg!default
7003990,4,7003990_0,0,0.2,18,1,https://res.hoto.cn/5b34ac4a0135db7c7ffdbba6.jpg!default
7003990,4,7003990_1,1,0.4,18,2,https://res.hoto.cn/5b34ac560135db7c7ffdbba7.jpg!default
