recipeID,Ingredients,Seasonings,Steps
10001,2,5,5
10002,3,5,4
10003,3,2,5
10005,2,6,3
10006,2,12,9
10007,1,3,5
10008,2,5,9
10009,1,5,3
10010,1,3,3
10011,2,4,4
10012,6,12,7
10013,1,6,5
10014,1,4,6
10015,1,2,6
10016,3,5,2
10017,1,3,4
10018,2,5,4
10019,1,3,4
10020,1,2,3
10021,2,1,11
10022,1,2,2
10023,3,2,1
10024,2,7,4
10025,5,6,3
10026,2,2,6
10027,2,12,6
10028,1,8,2
10029,2,2,7
10030,1,10,5
10031,3,4,7
10032,3,4,3
10033,1,5,4
10034,1,1,3
10035,2,6,2
10036,2,9,5
10037,2,4,3
10038,2,3,5
10039,1,5,4
10040,5,1,1
10041,2,7,4
10048,1,1,2
10050,1,8,2
10051,0,0,3
10052,1,7,4
10053,2,2,4
10054,1,3,4
10055,1,9,5
10056,2,5,4
10057,2,10,12
10058,4,7,3
10059,2,2,9
10060,2,9,18
10061,1,3,3
10062,5,5,5
10063,5,6,3
10064,2,17,11
10065,1,3,3
10066,1,8,4
10067,1,7,2
10068,1,1,3
10069,4,4,10
10070,3,3,3
10071,2,4,3
10072,3,16,6
10073,2,6,4
10074,1,6,3
10076,2,8,3
10077,1,6,3
10078,1,2,3
10079,2,4,4
10080,1,16,6
10081,2,3,6
10082,1,6,3
10083,2,6,4
10084,3,14,4
10085,2,5,7
10086,1,3,4
10087,1,6,5
10088,2,2,4
10089,1,8,5
10090,1,6,6
10092,1,14,8
10093,2,2,3
10094,2,5,4
10095,1,4,3
10096,3,4,11
10097,2,3,3
10098,3,6,1
10099,1,3,2
10100,1,5,3
10101,5,2,5
10103,1,8,8
10104,7,7,6
10105,2,5,4
10106,1,3,2
10107,1,5,5
10108,1,4,2
10109,1,2,3
10110,4,2,5
10111,0,0,5
10112,1,10,7
10114,2,4,4
10115,1,5,4
10116,1,9,9
10117,2,5,4
10118,1,5,4
10119,1,3,9
10120,1,6,5
10121,1,10,7
10122,1,6,2
10123,3,3,1
10124,1,4,3
10125,1,4,2
10126,4,4,3
14059,2,2,5
14061,3,5,8
14062,2,6,4
14063,3,5,7
14064,1,7,7
14065,4,6,5
14066,2,8,8
14067,12,7,6
14069,2,2,2
14070,1,1,6
14071,1,8,8
14072,2,4,6
14073,3,4,4
14074,1,13,5
14075,1,6,3
14076,1,4,2
14077,6,2,4
14078,2,7,4
14079,1,9,4
14080,4,9,3
14081,2,4,2
14082,2,9,10
14083,2,7,6
14084,1,8,4
14086,4,1,6
14087,2,5,6
14088,3,5,5
14089,2,8,4
14090,2,1,2
14091,3,0,3
14092,2,4,4
14093,2,3,7
