recipeID,Ingredients,Seasonings,Steps
7003883,5,4,9
7003884,3,10,18
7003885,2,6,6
7003886,7,4,22
7003887,2,1,6
7003888,2,6,7
7003889,6,7,12
7003890,4,4,7
7003891,3,9,14
7003892,1,8,3
7003893,2,7,13
7003895,40,1,27
7003897,2,3,6
7003898,2,1,10
7003903,2,8,12
7003904,1,2,6
7003905,4,1,14
7003908,8,6,10
7003910,5,4,9
7003912,3,4,11
7003913,1,1,8
7003914,1,4,9
7003915,4,4,8
7003916,2,5,8
7003917,4,1,8
7003918,3,2,7
7003919,3,2,5
7003920,7,2,16
7003921,5,1,10
7003922,5,4,5
7003923,3,1,7
7003924,4,6,5
7003925,2,3,8
7003926,2,1,6
7003927,2,1,7
7003930,2,4,8
7003931,6,3,14
7003933,3,2,8
7003934,3,11,8
7003935,2,2,8
7003936,2,8,7
7003937,4,4,10
7003938,3,4,10
7003939,3,11,7
7003940,5,1,18
7003941,3,4,6
7003943,2,9,9
7003944,1,4,8
7003947,2,7,16
7003948,2,1,8
7003949,3,6,9
7003950,2,2,6
7003951,1,2,5
7003953,1,3,8
7003956,1,2,3
7003957,8,1,15
7003963,2,2,6
7003964,1,4,6
7003965,5,3,25
7003966,1,3,7
7003967,3,5,13
7003968,2,1,5
7003969,4,4,9
7003970,3,4,8
7003972,4,2,10
7003973,3,2,7
7003974,7,8,18
7003977,1,10,24
7003978,5,5,19
7003979,2,7,11
7003980,5,6,14
7003982,3,3,7
7003983,3,6,12
7003984,1,10,8
7003986,1,10,9
7003987,2,4,6
7003988,1,2,8
7003989,5,2,9
7003990,2,1,5
7003991,5,9,7
7003993,6,3,15
7003994,1,5,12
7003995,2,7,6
7003997,2,3,11
7003998,2,5,10
7003999,7,8,20
7004000,2,1,5
7004001,3,6,8
7004002,6,4,8
7004003,4,5,10
7004004,4,3,7
7004005,1,3,7
7004006,2,7,9
7004007,3,5,9
7004008,4,5,3
7004009,1,5,11
7004010,1,6,13
7004011,2,7,7
7004012,5,3,3
7004013,2,6,6
7004014,1,2,7
7004015,3,5,9
7004017,1,1,3
7004018,1,9,10
7004019,4,7,12
7004020,1,9,3
7004021,2,2,6
7004022,1,8,9
7004023,2,1,5
7004024,2,10,8
7004025,4,1,9
7004026,4,3,4
7004028,1,3,6
7004029,1,10,7
7004030,1,2,7
7004031,2,6,3
7004032,5,1,10
7004033,5,1,17
7004034,2,2,7
7004035,3,1,6
7004037,4,6,12
7004038,3,5,7
7004039,3,2,6
7004040,1,7,11
7004041,1,9,7
7004042,1,4,5
7004045,8,9,7
7004046,3,2,6
7004047,1,7,10
7004048,4,3,5
7004049,3,5,9
7004050,4,6,13
7004051,6,6,8
7004052,1,10,17
7004053,2,10,10
7004054,3,1,3
7004055,3,5,7
7004056,1,7,10
7004057,1,7,8
7004058,1,11,9
7004059,1,8,14
7004060,4,4,8
7004061,2,5,12
7004062,2,6,8
7004063,1,4,8
7004064,3,1,11
7004065,2,5,6
7004066,7,4,19
7004067,2,1,8
7004068,2,1,9
7004069,1,3,10
7004070,3,11,11
7004071,3,4,11
7004072,6,3,13
7004073,1,5,5
7004074,1,6,8
7004075,3,1,5
7004076,1,5,9
7004077,2,2,4
7004078,1,1,4
7004079,2,1,5
7004080,1,10,7
7004081,2,6,12
7004082,2,8,10
7004083,2,3,5
7004084,2,9,9
7004085,4,6,12
7004087,4,5,10
7004089,2,6,12
7004090,3,5,16
7004091,4,3,12
7004092,3,5,12
7004093,1,8,15
7004094,3,5,10
7004095,1,8,17
7004096,1,4,7
7004099,3,9,9
7004100,5,5,19
7004101,3,4,23
7004102,3,3,4
7004105,4,1,10
7004106,5,1,12
7004107,1,7,8
7004109,3,1,12
7004110,4,4,12
7004113,3,6,12
7004115,2,4,5
7004116,4,9,18
7004117,4,8,15
7004118,3,2,15
7004119,4,8,10
7004120,6,8,28
7004121,4,8,26
7004122,1,3,6
7004123,1,3,10
7004124,1,2,7
7004125,9,4,18
7004126,1,9,17
7004127,2,2,8
7004128,4,1,6
7004129,6,5,9
7004130,4,4,10
7004132,3,1,9
7004133,3,2,10
7004134,5,2,12
7004135,2,5,7
7004136,4,1,9
7004137,2,7,21
7004138,3,1,9
